"astronom,astronomer
astronomia,astronomy
biolog,biologist
biologia,biology
szerokopasmowe łącze internetowe,broadband
chemik,chemist
chemia,chemistry
zbierać próbki/okazy,collect specimens
informatyka,computer science
informatyk,computer scientist
komputer stacjonarny,desktop computer
opracować teorie,develop a theory
cyfrowy,digital
odkryć,discover
przeprowadzać eksperyment,do an experiment
prowadzić badania,do research
ściągać muzykę,download music
grawitacja,gravity
wynaleźć,invent
klawiatura,keyboard
laptop,laptop
drukarka laserowa,laser printer
matematyk,mathematician
matematyka,math
mysz,mouse
obserwować,observe
hasło,password
fizyk,physicist
fizyka,physics
planeta,planet
nauki ścisłe,science
naukowiec,scientist
ekran,screen
wyszukiwarka,search engine
smartfon,smartphone
zmierzyć dokonać pomiarów,take measurements
robić notatki,take notes
wiadomość tekstowa,text message
aktualizować swój profil,update your profile
nazwa użytkownika,username
odwiedzać stronę internetową,visit a website
przeglądarka internetowa,web browser
przybywać,pojawić się,arrive
oparzyć się,burn yourself
powóz,carriage
wybrzeże,coast
zawiesić się,crash
bezpośrednie światło słoneczne,direct sunlight
e-book,e-book
atrament elektroniczny,E ink
elektroniczny,electronic
czytnik e-booków,e-reader
ściemniać się,get dark
wrócić do domu,get home
pagórek wzniesienie,hill
wyobrazić sobie,imagine
sięgać w kierunku,reach towards
odpowiadać,reply
badacz,researcher
wyboisty nierówny,rough
służący,servant
srebrny krzyżyk,silver cross
napisać do kogoś SMS,text sb
gęsty las,thick forest
wizja,vision
obudzić się,wake up
wpływać na,mieć wpływ na,affect
analizować dane/dowody,analyse data/evidence
analiza,analysis
przodek,ancestor
archeolog,archaeologist
archeologia,archaeology
gromadzić dane/dowody,collect data/evidence
ochrona przyrody,conservation
działacz ruchu na rzecz ochrony przyrody,conservationist
środowisko,environment
ewolucja,evolution
badanie,odkrywanie,exploration
eksplorować,explore
znaleźć rozwiązanie,find a solution
geolog,geologist
geologia,geology
globalne ocieplenie,global warming
językoznawca,linguist
językoznawstwo,linguistics
biolog morski,marine biologist
biologia morska,marine biology
chronić środowisko naturalne,protect the environment
ochrona,protection
psycholog,psychologist
psychologia,psychology
opublikować artykuł naukowy/dowody,publish a research paper/evidence
rozwiązanie,solution
rozwiązać,solve
robić coś godzinami,spend hours
technika technologia,technology
powyżej zera,above zero
lądowisko,airstrip
średnia temperatura,average temperature
poniżej zera,below zero
upalny skwarny,boiling
stołówka,canteen
chłodny,chilly
zimny,cold
stopień Celsjusza,degree centigrade
spadać obniżać się,fall
lodowaty,freezing
gorący,hot
puzzle,jigsaw
warstwa,layer
własny,own
stały,permanent
plus/minus 25 stopni,plus/minus 25 degrees
dotrzeć do domu/na biegun południowy,reach home/the south pole
odnotowany zarejestrowany,recorded
szczątki,remains
wracać do,return to
wzrastać podnosić się,rise
prowadzić firmę/ stacje badawczą,run a business/research station
ocalić,save
ciemność,the dark
ciepły,warm
astronauta,astronaut
aparat fotografyczny kamera,camera
rozdawać,give out
system nawigacji satelitarnej GPS,GPS
w środku wewnątrz,inside
odszukać sprawdzić,look up
telefon komórkowy,mobile phone
na zewnątrz,outside
wiwatować,cheer
prawda obywatelskie,civil rights
śpiący głębokim snem,fast asleep
ukończyć (np. szkołę studia),graduate from
kosmos,space
wstawać,stand up
czarna dziura,black hole
odkrycie,discovery
oprócz,except
eksperyment interaktywny,interactive experiment
upewnić się,make sure
pojechać metrem,take the underground
spragniony,thirsty
nagle niespodziewanie,all of a sudden
przerażony,wystraszony,frightened
rozładować się paść,go dead
koszmar,nightmare
włączyć,put on
wstrząśnięty,shocked
zaskoczony,surprised
latarka,torch"
